Symbol;Name;LastSale;MarketCap;ADR TSO;IPOyear;Sector;Industry;Summary Quote
AMCN;AirMedia Group Inc;maj.62;246547629.7;43869685;2007;Technology;Advertising;http://www.nasdaq.com/symbol/amcn
AIXG;Aixtron SE;maj.14;21377177.76;4158984;n/a;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/aixg
ALRM;Alarm.com Holdings, Inc.;22.36;1019228322.32;n/a;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/alrm
AFOP;Alliance Fiber Optic Products, Inc.;18.maj;292088822.5;n/a;2000;Technology;Semiconductors;http://www.nasdaq.com/symbol/afop
ALLT;Allot Communications Ltd.;apr.95;166112604.9;n/a;2006;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/allt
MDRX;Allscripts Healthcare Solutions, Inc.;13.59;2573187379.02;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/mdrx
AOSL;Alpha and Omega Semiconductor Limited;dec.77;282697279.7;n/a;2010;Technology;Semiconductors;http://www.nasdaq.com/symbol/aosl
GOOG;Alphabet Inc.;736.1;506672180488.7;n/a;2004;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/goog
GOOGL;Alphabet Inc.;757.54;521429756293.18;n/a;2004;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/googl
AYA;Amaya Inc.;dec.28;1643112420.04;n/a;n/a;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/aya
AMBA;Ambarella, Inc.;43.64;1411027786.76;n/a;2012;Technology;Semiconductors;http://www.nasdaq.com/symbol/amba
AMBR;Amber Road, Inc.;maj.29;139269549.63;n/a;2014;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/ambr
DOX;Amdocs Limited;57.72;8678779200;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/dox
AMSWA;American Software, Inc.;avg.67;250118359.05;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/amswa
AMKR;Amkor Technology, Inc.;maj.46;1296140800.5;n/a;1998;Technology;Semiconductors;http://www.nasdaq.com/symbol/amkr
AHS;AMN Healthcare Services Inc;34.27;1638698939.54;n/a;2001;Technology;Professional Services;http://www.nasdaq.com/symbol/ahs
ASYS;Amtech Systems, Inc.;jun.33;83364182.01;n/a;n/a;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/asys
ADI;Analog Devices, Inc.;58.6;18167120549.2;n/a;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/adi
ANSS;ANSYS, Inc.;87.49;7717053175.26;n/a;1996;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/anss
ATNY;API Technologies Corp.;jan.98;110584584;n/a;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/atny
APIC;Apigee Corporation;9.feb;274167406;n/a;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/apic
APPF;AppFolio, Inc.;12.mar;412929634.5;n/a;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/appf
AAPL;Apple Inc.;109.02;604000000000;n/a;1980;Technology;Computer Manufacturing;http://www.nasdaq.com/symbol/aapl
AMAT;Applied Materials, Inc.;20.94;23677372684.26;n/a;1972;Technology;Semiconductors;http://www.nasdaq.com/symbol/amat
AMCC;Applied Micro Circuits Corporation;jun.28;524614802.92;n/a;1997;Technology;Semiconductors;http://www.nasdaq.com/symbol/amcc
AAOI;Applied Optoelectronics, Inc.;15.91;271354548.27;n/a;2013;Technology;Semiconductors;http://www.nasdaq.com/symbol/aaoi
AROC;Archrock, Inc.;jul.39;514568197.82;n/a;n/a;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/aroc
ARIS;ARI Network Services, Inc.;apr.16;71802548.48;n/a;1991;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/aris
ANET;Arista Networks, Inc.;63.56;4339490990.8;n/a;2014;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/anet
ARMH;ARM Holdings plc;43.77;4516143166.74;103178962;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/armh
ARRS;ARRIS International plc;21.62;4220051515.64;n/a;n/a;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/arrs
ASML;ASML Holding N.V.;100.25;5768677329;57542916;1995;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/asml
AZPN;Aspen Technology, Inc.;35.11;2927799551.85;n/a;1994;Technology;EDP Services;http://www.nasdaq.com/symbol/azpn
ALOT;Astro-Med, Inc.;13.48;98953121.28;n/a;1983;Technology;Computer peripheral equipment;http://www.nasdaq.com/symbol/alot
ASUR;Asure Software Inc;53.067;333.876.124.932;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/asur
TEAM;Atlassian Corporation Plc;23.23;4933913920.88;n/a;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/team
ATTU;Attunity Ltd.;6.maj;106640579.5;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/attu
AUO;AU Optronics Corp;3.maj;2935394758.55;n/a;2002;Technology;Semiconductors;http://www.nasdaq.com/symbol/auo
ABTL;Autobytel Inc.;17.nov;181821536.64;n/a;1999;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/abtl
ADSK;Autodesk, Inc.;56.87;12766927829.04;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/adsk
ATHM;Autohome Inc.;29.79;3367895640.3;n/a;2013;Technology;EDP Services;http://www.nasdaq.com/symbol/athm
ADP;Automatic Data Processing, Inc.;89.71;41037940962.01;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/adp
AVG;AVG Technologies N.V.;19.88;1040513395.04;n/a;2012;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/avg
AVNW;Aviat Networks, Inc.;0.73;46002317.29;n/a;n/a;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/avnw
AWRE;Aware, Inc.;mar.85;88523585.15;n/a;1996;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/awre
ACLS;Axcelis Technologies, Inc.;feb.68;311288059.48;n/a;2000;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/acls
AXTI;AXT Inc;feb.55;82469998.8;n/a;1998;Technology;Semiconductors;http://www.nasdaq.com/symbol/axti
BOSC;B.O.S. Better Online Solutions;19.301;453.993.180.944;n/a;n/a;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/bosc
BIDU;Baidu, Inc.;185.07;50158657823.1;271025330;2005;Technology;Computer Software: Programming, Data Processing;http://www.nasdaq.com/symbol/bidu
RATE;Bankrate, Inc.;avg.73;849709425.06;n/a;2011;Technology;EDP Services;http://www.nasdaq.com/symbol/rate
CUDA;Barracuda Networks, Inc.;15.avg;800780090.24;n/a;2013;Technology;Computer peripheral equipment;http://www.nasdaq.com/symbol/cuda
BBSI;Barrett Business Services, Inc.;27.55;198416808.1;n/a;1993;Technology;Professional Services;http://www.nasdaq.com/symbol/bbsi
BV;Bazaarvoice, Inc.;3.jan;252568882.3;n/a;2012;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/bv
BHE;Benchmark Electronics, Inc.;22.maj;1098514043.55;n/a;n/a;Technology;Electrical Products;http://www.nasdaq.com/symbol/bhe
BNFT;Benefitfocus, Inc.;32.95;962367387.95;n/a;2013;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/bnft
BGSF;BG Staffing Inc;14.65;108233540.75;n/a;n/a;Technology;Professional Services;http://www.nasdaq.com/symbol/bgsf
BITA;Bitauto Holdings Limited;26.85;1699908243.9;n/a;2010;Technology;EDP Services;http://www.nasdaq.com/symbol/bita
BBOX;Black Box Corporation;13.apr;206125165;n/a;n/a;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/bbox
BKFS;Black Knight Financial Services, Inc.;29.25;4502444017.5;n/a;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/bkfs
BLKB;Blackbaud, Inc.;61.67;2896742025.52;n/a;2004;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/blkb
BDR;Blonder Tongue Laboratories, Inc.;0.41;2773541.76;n/a;n/a;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/bdr
BCOR;Blucora, Inc.;5.nov;210568562.05;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/bcor
EPAY;Bottomline Technologies, Inc.;29.72;1212210681.76;n/a;1999;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/epay
BOX;Box, Inc.;12.feb;1495288000;n/a;2015;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/box
BLIN          ;Bridgeline Digital, Inc.;0.85;4527622.75;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/blin
BCOV;Brightcove Inc.;maj.99;196229548.76;n/a;2012;Technology;EDP Services;http://www.nasdaq.com/symbol/bcov
AVGO;Broadcom Limited;155.61;60757607055.6;n/a;2009;Technology;Semiconductors;http://www.nasdaq.com/symbol/avgo
BSFT;BroadSoft, Inc.;40.5;1179567724.5;n/a;2010;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/bsft
BVSN;BroadVision, Inc.;7.jan;34220871.22;n/a;1996;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/bvsn
BRCD;Brocade Communications Systems, Inc.;sep.71;3890108978.53;n/a;1999;Technology;Computer Communications Equipment;http://www.nasdaq.com/symbol/brcd
BRKS;Brooks Automation, Inc.;10.jan;685080155.76;n/a;1995;Technology;Industrial Machinery/Components;http://www.nasdaq.com/symbol/brks
CA;CA Inc.;30.avg;12536224753.28;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/ca
CCMP;Cabot Microelectronics Corporation;40.27;974361845.75;n/a;2000;Technology;Semiconductors;http://www.nasdaq.com/symbol/ccmp
CACI;CACI International, Inc.;104.74;2540224760.54;n/a;n/a;Technology;EDP Services;http://www.nasdaq.com/symbol/caci
CDNS;Cadence Design Systems, Inc.;23.23;7093466340;n/a;n/a;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/cdns
CAI;CAI International, Inc.;avg.52;169733216.28;n/a;n/a;Technology;Diversified Commercial Services;http://www.nasdaq.com/symbol/cai
CAMP;CalAmp Corp.;17.32;633760952.28;n/a;1983;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/camp
CALD;Callidus Software, Inc.;16.48;927391119.84;n/a;2003;Technology;EDP Services;http://www.nasdaq.com/symbol/cald
CSIQ;Canadian Solar Inc.;17.24;964844237.32;n/a;2006;Technology;Semiconductors;http://www.nasdaq.com/symbol/csiq
CARB;Carbonite, Inc.;jul.48;201732802.48;n/a;2011;Technology;EDP Services;http://www.nasdaq.com/symbol/carb
CSLT;Castlight Health, inc.;mar.38;326712990.24;n/a;2014;Technology;EDP Services;http://www.nasdaq.com/symbol/cslt
CAVM;Cavium, Inc.;58.65;3360590514.15;n/a;2007;Technology;Semiconductors;http://www.nasdaq.com/symbol/cavm
CDI;CDI Corporation;jun.74;132805607.04;n/a;n/a;Technology;Professional Services;http://www.nasdaq.com/symbol/cdi
CLS;Celestica, Inc.;10.sep;1357206175.2;n/a;1998;Technology;Electrical Products;http://www.nasdaq.com/symbol/cls
CRNT;Ceragon Networks Ltd.;jan.17;90835130.88;n/a;n/a;Technology;Radio And Television Broadcasting And Communications Equipment;http://www.nasdaq.com/symbol/crnt
CERN;Cerner Corporation;55.11;18738328658.61;n/a;1986;Technology;EDP Services;http://www.nasdaq.com/symbol/cern
CEVA;CEVA, Inc.;22.mar;457361047.2;n/a;n/a;Technology;Semiconductors;http://www.nasdaq.com/symbol/ceva
CYOU;Changyou.com Limited;19.sep;351438424.04;18409556;2009;Technology;Computer Software: Prepackaged Software;http://www.nasdaq.com/symbol/cyou
