"","WFC.Open","WFC.High","WFC.Low","WFC.Close","WFC.Volume","WFC.Adjusted","id"
"2015-08-04",57.77,58.16,57.709999,57.82,12324700,56.184411,148
"2015-08-05",57.810001,58.02,57.48,57.650002,12032500,56.384913,149
"2015-08-06",57.650002,57.950001,57.41,57.529999,12556600,56.267544,150
"2015-08-07",57.57,57.860001,57.040001,57.470001,13596200,56.208863,151
"2015-08-10",57.799999,57.98,57.68,57.939999,12397500,56.668547,152
"2015-08-11",57.23,57.549999,56.98,57.209999,15425500,55.954567,153
"2015-08-12",56.900002,56.950001,56.200001,56.720001,21663200,55.475321,154
"2015-08-13",56.75,57.130001,56.630001,56.889999,11868600,55.641589,155
"2015-08-14",56.889999,57.369999,56.82,57.330002,9742500,56.071936,156
"2015-08-17",57.02,57.5,56.93,57.349998,11462500,56.091494,157
"2015-08-18",57.41,57.720001,57.27,57.540001,10581500,56.277327,158
"2015-08-19",57.279999,57.549999,56.950001,57.060001,13744600,55.80786,159
"2015-08-20",56.459999,56.580002,56.110001,56.119999,20857700,54.888486,160
"2015-08-21",55.330002,55.779999,53.959999,53.970001,31954400,52.785668,161
"2015-08-24",49.200001,53.240002,47.75,51.25,40198100,50.125355,162
"2015-08-25",53.549999,53.650002,50,50.02,31041800,48.922347,163
"2015-08-26",51.560001,52.41,50.580002,52.299999,30235800,51.152313,164
"2015-08-27",53.439999,54.099998,52.880001,54.029999,26452500,52.844349,165
"2015-08-28",53.75,53.93,53.040001,53.540001,18342200,52.365104,166
"2015-08-31",53.400002,53.560001,53.060001,53.330002,13842200,52.159713,167
"2015-09-01",52.110001,52.32,50.529999,50.990002,28031700,49.871063,168
"2015-09-02",52.490002,52.490002,51.27,51.990002,20919600,50.849118,169
"2015-09-03",52.389999,53,52.220001,52.43,15719000,51.279461,170
"2015-09-04",51.799999,51.82,50.759998,51.290001,22303800,50.164479,171
"2015-09-08",52.650002,52.98,51.98,52.93,19685400,51.768489,172
"2015-09-09",53.610001,53.700001,52.02,52.189999,16221500,51.044726,173
"2015-09-10",52.07,52.860001,51.799999,52.560001,17996200,51.40661,174
"2015-09-11",52.34,52.66,52.029999,52.619999,12549400,51.465291,175
"2015-09-14",52.630001,52.880001,52.41,52.77,16225600,51.612001,176
"2015-09-15",53.040001,53.790001,52.82,53.470001,14305500,52.29664,177
"2015-09-16",53.52,53.889999,52.900002,53.720001,15218500,52.541154,178
"2015-09-17",53.700001,53.91,52.029999,52.209999,25025800,51.064288,179
"2015-09-18",51.27,51.48,50.700001,51.040001,39561600,49.919965,180
"2015-09-21",51.52,51.75,51.18,51.549999,16673300,50.418771,181
"2015-09-22",50.869999,51.150002,50.330002,50.689999,21761300,49.577643,182
"2015-09-23",50.880001,50.939999,50.5,50.779999,12521200,49.665668,183
"2015-09-24",50.09,50.68,49.799999,50.549999,17064300,49.440716,184
"2015-09-25",51.360001,51.869999,51.07,51.48,18394800,50.350308,185
"2015-09-28",51.07,51.299999,50.200001,50.369999,17647900,49.264665,186
"2015-09-29",50.470001,50.959999,50,50.889999,20816400,49.773255,187
"2015-09-30",51.630001,51.720001,50.700001,51.349998,20514800,50.22316,188
"2015-10-01",51.509998,51.860001,50.919998,51.439999,15556600,50.311185,189
"2015-10-02",50.279999,51.290001,49.509998,51.259998,21630300,50.135134,190
"2015-10-05",51.709999,52.57,51.5,52.41,15240700,51.2599,191
"2015-10-06",52.18,52.540001,51.919998,52.029999,14490700,50.888238,192
"2015-10-07",52.490002,52.73,51.91,52.189999,13863500,51.044726,193
"2015-10-08",52.23,52.59,51.77,52.540001,15384100,51.387048,194
"2015-10-09",53.02,53.07,51.98,52.139999,16983100,50.995824,195
"2015-10-12",52.119999,52.43,51.75,52.18,10639000,51.034948,196
"2015-10-13",52.02,52.310001,51.709999,51.860001,16002200,50.72197,197
"2015-10-14",51.700001,51.900002,50.740002,51.5,26269100,50.369869,198
"2015-10-15",51.98,52.700001,51.759998,52.689999,18262400,51.533754,199
"2015-10-16",53.150002,53.189999,52.509998,52.880001,15543900,51.719587,200
"2015-10-19",52.759998,53.009998,52.450001,52.560001,15515700,51.40661,201
"2015-10-20",52.619999,53.290001,52.580002,53.080002,13583300,51.915199,202
"2015-10-21",53.040001,53.860001,53.029999,53.119999,17666700,51.954319,203
"2015-10-22",53.400002,54.450001,53.400002,54.060001,18263200,52.873693,204
"2015-10-23",54.34,54.799999,54.110001,54.75,16924800,53.54855,205
"2015-10-26",54.759998,54.810001,54.16,54.290001,12661400,53.098646,206
"2015-10-27",53.98,54.330002,53.82,54.119999,12443900,52.932374,207
"2015-10-28",54.240002,55.5,54.169998,55.450001,16681600,54.23319,208
"2015-10-29",55.389999,55.57,54.91,55.09,11334900,53.88109,209
"2015-10-30",55.07,55.07,54.029999,54.139999,18450500,52.951936,210
"2015-11-02",54.209999,55.02,54.130001,54.849998,10992300,53.646355,211
"2015-11-03",54.68,55.150002,54.450001,54.93,10709100,53.724601,212
"2015-11-04",54.560001,54.75,54.380001,54.580002,12823600,53.74922,213
"2015-11-05",54.349998,55.080002,54.349998,54.860001,12263900,54.024957,214
"2015-11-06",56.040001,56.34,55.560001,55.849998,22376800,54.999886,215
"2015-11-09",56.080002,56.220001,55.139999,55.470001,17609700,54.625673,216
"2015-11-10",55.299999,55.959999,55.23,55.91,13475900,55.058974,217
